Crop,Variety testing name/code,Offici al Rele ase Name,Year of rele ase,Owner(s)/ Licensee,Maintainer and seed source,Optimal production altitude range (Masl),Duration to maturity (months),Grain yield (t ha-1),Special attributes
MAIZE,"264. WE21
04","WE2
104",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Mid altitude
Areas of
Kenya",4.5,6.74," Resistant to gray leaf
spot,Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"265. WE21
07","WE2
107",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Mid altitude
Areas of
Kenya",4.5,7.16," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"266. WE21
08","WE2
108",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Mid altitude
Areas of
Kenya",4.5,6.81," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"267. WE31
01","WE3
101",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Early to
transitional
areas",4,5.37," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"268. WE31
02","WE3
102",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Early to
transitional
areas",4,5.22," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"269. WE31
04","WE3
104",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Transitional
areas",4,5.60," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"270. WE31
05","WE3
105",2015,"CIMMYT/
AATF","KALRO/CIM
MYT","Coastal region
of Kenya.",4,6.31," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"271. WE31
06","WE3
106",2015,"Monsant
o/AATF","KALRO/CIM
MYT","Early to
transitional
regions of
kenya",4,3.28," Resistant to gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects"
MAIZE,"272. WE12
03","WM1
203",2015,"Monsant
o/AATF",Monsanto,"Mid - Altitude
areas",4,6.63," Good adaptability
 Excellent ear
phenotype"
MAIZE,"273. WE12
54","WM1
254",2015,"Monsant
o/AATF",Monsanto,"Mid - Altitude
areas",4,6.10," Good adaptability
 Excellent ear
phenotype"
MAIZE,"274. WE12
59","WM1
259",2015,"Monsant
o/AATF",Monsanto,"Mid - Altitude
areas",4,6.60," Good adaptability
 Excellent ear
uniformity"
MAIZE,"275. WE32
01","WE3
201",2015,"Monsant
o/AATF",Monsanto,"Mid - Altitude
areas",4.5,6.45," Good adaptability
 Excellent ear
uniformity"
MAIZE,"276. WE32
02","WE3
202",2015,"Monsant
o/AATF",Monsanto,"Mid - Altitude
areas",,5.63," Good adaptability
 Excellent ear
uniformity"
MAIZE,"277. WA11
523","WKL
523",2015,"WAKALA
AFRICA
LTD","CIMMYT
and
WAKALA
AFRICA LTD","Drylands and
Transitional
zones of
Kenya;
Kangundo,
Kathiani,
Mariakani,
Mwea, Thigio,
Thika, Homa
Bay, Siaya,
and Embu",3.5 -4,3.93," Early maturing
 Semi-flint
 Tolerant to Maize
rust, Grey Leaf Spot
and Maize Blight"
MAIZE,"278. WE41
08","WE4
108",2016,"CIMMYT/
AATF","KALRO-
Katumani","Recommende
d for growing
in the dry
transitional to
dry-mid
altitude
regions of
lower and
upper eastern,
Central, Rift
valley (Homa
bay, Kambi
yam awe,
Kathiani,
Katumani,
Kiboko, Kitui,
Masongaleni,
mogotio,
Rwika and
salama) Kenya",3-4,4.3-5.3," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot
 Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"279. WE41
09","WE4
109",2016,"CIMMYT/
AATF","KALRO-
Katumani","Recommende
d for growing
in the dry
transitional to
dry-mid
altitude
regions of
lower and
upper eastern,
Central, Rift
valley (Homa
bay, Kambi
yam awe,
Kathiani,
Katumani,
Kiboko, Kitui,
Masongaleni,
mogotio,
Rwika and
salama) Kenya",3-4,3.8-4.7," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"280. WE41
04","WE4
104",2016,"CIMMYT/
AATF","KALRO-
Katumani","Recommende
d for growing
in the moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai)
Thikaand
Nyanza
(Homabay)
Kenya",3-4.5,5.3-6.0," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"281. WE41
15","WE4
115",2016,"CIMMYT/
AATF","KALRO-
Katumani","Recommende
d for growing
in the moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai)
Thikaand
Nyanza
(Homabay)
Kenya",3-4.5,5.5-6.1," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"282. WE41
17","WE4
117",2016,"CIMMYT/
AATF","KALRO-
Katumani","Recommende
d for growing
in the moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai)
Thikaand
Nyanza
(Homabay)
Kenya
(Homabay)
Kenya",3-4.5,5.4-6.5," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"283. WE32
05","WE3
205",2016,"Monsant
o/ AATF","KALRO-
Katumani","Recommende
d for growing
in the moist
medium and
moist mid-
altitude
regions of
Eastern,
Central and
Rift valley
(Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu)
Kenya",4-5,6.3-6.5," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects
 High grain density and
ear flex
 Early maturing"
MAIZE,"284. WE32
10","WE3
210",2016,"Monsant
o/AATF","KALRO-
Katumani","Recommende
d for growing
in the moist
medium and
moist mid-
altitude
regions of
Eastern,
Central and
Rift valley
(Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu)
Kenya",4-5,6.1-7.7," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk cover
and good plant and
ear aspects
 Excellent Standability"
MAIZE,"285. WE42
07","WE4
207",2016,"Monsant
o/AATF","KALRO-
Katumani","Recommende
d for growing
in the moist
medium and
moist mid-
altitude
regions of
Eastern,
Central and
Rift valley
(Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu)
Kenya",4-5,6.8-7.7," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk cover
and good plant and
ear aspects
 Excellent Standability"
MAIZE,"286. WE42
08","WE4
208",2016,"Monsant
o/AATF","KALRO-
Katumani","Recommende
d for growing
in the moist
medium and
moist mid-
altitude
regions of
Eastern,
Central and
Rift valley
(Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu)
Kenya",4-5,7.6-7.7," The hybrid is drought
tolerant, resistant to
major leaf diseases
such as gray leaf
spot, Turcicum leaf
blight and maize
streak virus
 It has good husk cover
and good plant and
ear aspects
 Excellent Standability"
MAIZE,287. DK777,"DK77
7",2016,"Monsant
o Kenya
limited","Monsanto
Inc","Medium to
Mid -high
Altitude (1400
– 1800):
Kakamega,
Transoia,
Nandi,
Bugoma,
Nyeri, Meru,
Bomet, Njoro,
Busia, Kiambu,
siaya, Embu)",4 – 5,5-8," Highly prolific
 Exceptional good
grain texture (flint
grain type) good for
poundability
 Tolerant to
cercospora zea-
maydis (Grey Leaf
spot) and
helminthosporium
turcicum (leaf blight)
 Tolerant to maize
lethal necrosis (MLN)
and resistant to
Diplodia
 Good standability and
uniform cob
placement"
MAIZE,"288. ZG878
1","DKC8
1-81",2016,"Monsant
o Kenya
Limited","Monsanto
Inc","Med ium
Altitude (1400
– 1600):
Embu,
Kiambu, Nyeri,
Meru,
Bomet,Bungo
ma, Siaya,
Busia)",4-5,7.6-8.0," Very good tolerance
to Maize streak virus
 Moderate tolerance
to Puccinia sorghii
(common rust),
Cercospora zea-
maydis (Grey Leaf
spot) and
Hermothsporium
turcicum (leaf blight)
 Highly prolific and
good standability"
MAIZE,"289. 07C26
02","SC
Tem
bo71
1",2016,"Seed Co
Ltd","Agri Seed Co
Ltd","1200 to 1800
meters above
sea level e.g.
Kisii; Kericho;
Bomet;
Kakamega;
Busia; Nakuru;
Nyamira; Yala;
Bungoma",4.5 – 5.5,7.5-9.3," Helminthosporium
turcicum blight
tolerance
 Grey Leaf Spot and
Maize Streak Virus
tolerance
 High shelling
percentage
 Good husk / tip cover
 Good standabilty
hence reduced
lodging"
MAIZE,"290. 00C48
23","SC
Tem
bo
713",2016,"Agri Seed
Co Ltd","Agri Seed Co
Ltd","1400 to 2200
meters above
sea level e.g.
Kakamega;
Bungoma;
Transnzoia;
Nandi;
Transmara;
Kericho; Kisii;
Bomet;
Nakuru;
Nyamira;
Nyahururu
and Narok",5 – 6,9.5-9.7," Strong stalks & root
system hence reduced
lodging incidences
 Good tip cover; hence
low incidences of cob
diseases
 Grey Leaf Spot
tolerance
 Robust growth –
provides opportunity
for alternative use as
fodder crop
 Uniform mid-plant
cob placement hence
suitability for
mechanized farming
 Tolerant to MSV"
MAIZE,"291. Masen
o
EH12","Ocha
Kayo
ngo",2016,"Prof.
Mathews
Dida","Maseno
University/P
rof.
Mathews
Dida","Striga weed
infested
counties
around Lake
Victoria in
Kenya of
altitudes 1200
-1700 m",4- 4.5,4.0-7.5," Tolerant to Striga
weed (S.
hermomthica)
 Tolerant to Maize
Streak virus, Turcicum
leaf blight."
MAIZE,"292. Masen
o
EH14","Ohin
go
Kayo
ngo",2016,"Prof.
Mathews
Dida","Maseno
University/P
rof.
Mathews
Dida","Striga weed
infested
counties
around Lake
Victoria in
Kenya of
altitudes 1200
-1700 m",4- 4.5,5.3-7.8," Tolerant to Striga
weed (S.
hermomthica)
 Tolerant to Maize
Streak virus, Turcicum
leaf blight."
MAIZE,"293. CKHR
M120
2","PRES
TIGE
STRI
GAW
AY
01",2016,"ELGON
Seed
Company",CIMMYT,"Striga infested
regions in
Western
Kenya such as
Busia,
Nyahera,
Kibos, Alupe,
Homabay,
Luanda",4-4.5,5.2," Herbicide (Imazapyr)
resistant maize for
control of Striga"
MAIZE,"294. CKHR
M120
4","FH52
5-IR",2016,"FRESHCO
Seed
Company",CIMMYT,"Striga infested
regions in
Western
Kenya such as
Busia,
Nyahera,
Kibos, Alupe,
Homabay,
Luanda",4-4.5,5.0-5.2," Herbicide (Imazapyr)
resistant maize for
control of Striga"
MAIZE,"295. Maize
Early","WE4
140","WE4
140","CIMMYT/
AATF","KALRO-
Katumani/
CIMMYT","For dry low
and
transitional to
dry-mid
altitude
regions",3-3.5,5-8," The hybrid is early
maturing
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk cover
and plant and ear
aspects"
MAIZE,"296. Maize
Early","WE4
141","WE4
141","CIMMYT/
AATF","KALRO-
Katumani/
CIMMYT","For dry low
and
transitional to
dry-mid
altitude
regions",3-3.5,4-8," The hybrid is early
maturing
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk cover
and plant and ear
aspects"
MAIZE,"297. Maize
Early","WE4
142","WE4
142","CIMMYT/
AATF","KALRO-
Katumani/
CIMMYT","For dry low
and
transitional to
dry-mid
altitude
regions",3-3.5,5-9," The hybrid is early
maturing
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk cover
and plant and ear
aspects"
MAIZE,"298. Maize
Midlat
e","KM1
201","KKH
635",KALRO,"KALRO
Kakamega","Medium to
mid-Late
(upper
Midland AEZ)
Altitude: 1600
to 1800m asl",5-6,9-11," Resistant to blight and
GLS"
MAIZE,"299. Maize
Early","X35F
962
W","P280
9W","Pioneer
Hi-Bred
Kenya","Pioneer Hi
Bred
Zimbabwe","Medium
altitude areas,
early to
intermediate
maturity .e.g.
Machakos,
Makueni,
Embu, Meru,
Kisumu, Busia,
Migori ,
Muranga, etc",3-4,9," Excellent grain texture
(Flint)
 Stable hybrid
 Good MSV tolerance
 Good cob rot
tolerance
 Quick dry down"
MAIZE,"300. Maize
Transi
tional","MU1
0-
233","KH5
00-
55A",KALRO,"KALRO
Muguga","Moist -
transition
1200-1600m
asl",3-4,6-7," Early maturity, MSV
and GLS Resistant
 Drought tolerant
 Flint like to
intermediate grains
 Medium sized cobs,
white grains"
MAIZE,"301. Maize
Mediu
m","MZ1
202","H
529","Kenya
Seed
Company","Kenya Seed
Company","Medium AEZ’S
1200 -1500
masl",4-5,8-9," Drought tolerance
 MSV and foliar
disease tolerance
 Flint grains"
MAIZE,"302. WE51
17","WE5
117",2017,"CIMMYT/
AATF","KALRO-
Katumani","Dry
transitional to
dry-mid
altitude
regions of
lower and
upper eastern,
Central , Rift
valley (Homa
bay, Kambi
yam awe,
Kathiani,
Katumani,
Kiboko, Kitui,
Masongaleni,
Mogotio,
Rwika and
Salama) Kenya",3.5-4.5,3.9-7.4," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"303. WE51
20","WE5
120",2017,"CIMMYT/
AATF","KALRO-
Katumani","Dry
transitional to
dry-mid
altitude
regions of
lower and
upper eastern,
Central , Rift
valley (Homa
bay, Kambi
yam awe,
Kathiani,
Katumani,
Kiboko, Kitui,
Masongaleni,
Mogotio,
Rwika and
Salama) Kenya",4-5,3.8-7.4," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"304. WE51
07","WE5
107",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,3.7-7.2," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"305. WE51
13","WE5
113",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,3.7-.7.3," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"306. WE52
02","WE5
202",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,6.6-9.3," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"307. WE52
06","WE5
206",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,
Mwea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,"7.9-
10.0"," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"308. WE52
30","WE5
230",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,7.0-9.6," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"309. WE52
27","WE5
227",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,7.5-9.8," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"310. WE52
18","WE5
218",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,
Mwea, and
Kianjai)
Nyanza
(Homabay)
Kenya",4-5,"7.3-
10.1"," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"311. WE52
15","WE5
215",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai)
Homabay)
Kenya",4-5,7.2-9.6," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"312. WE52
13","WE5
213",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,7.5-9.6," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"313. WE52
10","WE5
210",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,"7.6-
10.0"," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"314. WE52
05","WE5
205",2017,"Monsant
o/AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,7.4-9.6," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"315. WE41
01","WE4
101",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist medium
and moist
mid-altitude
regions of
Eastern,
Central and
Rift valley
(Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu)
Kenya",4-5,5.3-7.5," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"316. WE41
18","WE4
118",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist medium
and moist
mid-altitude
regions of
Eastern,
Central and
Rift valley
(Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu)
Kenya",4-5,4.8-7.0," The hybrid is drought
tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"317. WE41
19","WE4
119",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist medium
and moist
mid-altitude
regions of
Eastern,
Central and
Rift valley
(Busia, Embu,
Kaguru,
Kimaite,
Kirinyaga,
Siaya, soin and
Wambugu)
Kenya",4-5,4.8- 7.1," Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus
 It has good husk
cover and good plant
and ear aspects"
MAIZE,"318. WE51
35","WE5
135",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,3.5 -7.1," MLN tolerant with a
score of 2.9
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"319. WE51
38","WE5
138",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,4.0-6.5," Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"320. WE51
39","WE5
139",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,3.5-6.4," MLN tolerant with a
score of 2.5
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"321. WE51
40","WE5
140",2017,"CIMMYT/
AATF","KALRO-
Katumani","Moist
transitional
and moist mid
altitude
regions of
lower and
upper eastern,
Central
(Mukuyuni,
Kathiani,
Kangundo,Mw
ea, and
Kianjai) Thika
and Nyanza
(Homabay)
Kenya",4-5,3.7-6.6," MLN tolerant with a
score of 2.5
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"322. KATEH
14-03","KDH4
14-
11-
Uka
mez
6)",2017,KALRO,"KALRO-
Katumani","Dry
transitional to
dry-mid
altitude
regions of
lower and
upper eastern,
Central , Rift
valley (Homa
bay, Kambi
yam awe,
Kathiani,
Katumani,
Kiboko, Kitui,
Masongaleni,
mogotio,
Rwika and
salama) Kenya",3-3.5,4.6- 7.5," Early maturing
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak virus"
MAIZE,"323. KATEH
14-05","KDH4
14-
12
(Uka
mez
7)",2017,KALRO,"KALRO-
Katumani","Dry
transitional to
dry-mid
altitude
regions of
lower and
upper eastern,
Central , Rift
valley (Homa
bay, Kambi
yam awe,
Kathiani,
Katumani,
Kiboko, Kitui,
Masongaleni,
mogotio,
Rwika and
salama)",3-3.5,4.3- 7.8," Early maturing
 Drought tolerant
 Resistant to major
leaf diseases such as
gray leaf spot,
Turcicum leaf blight
and maize streak
virus, Stay green"
MAIZE,"324. FRC12
02","FH-
1202",2017,"Freshco
Kenya
Ltd",CIMMYT,"Dry
transitional to
dry-mid
altitude",3-4,8-10," Resistant to GLS and
maize streak virus
 Has good husk cover"
MAIZE,"325. Proge
ne X5-
5","Prog
ene
FH-
1205",2017,"Freshco
Kenya
Ltd","Progene
Seeds-
Zimbabwe","Dry
transitional to
dry-mid
altitude",3-3.5,8-10," Resistant To GLS,
MSV, and leaf Blight
 Has good husk cover"
MAIZE,"326. Proge
ne X5-
8","Prog
ene
FH-
1208",2017,"Freshco
Kenya
Ltd","Progene
Seeds-
Zimbabwe","Dry
transitional to
dry-mid
altitude",4-5,8-10," Resistant to GLS and
MSV
 Has good husk cover"
MAIZE,"327. CKH08
069","Shuk
ran-
16",2017,KALRO,"CIMMYT/KA
LRO
MTWAPA","COASTAL
LOWLANDS
(CL) 2, 3 and 4",4,6.0-7.5," Drought tolerant
 Tolerant to foliar
diseases"
MAIZE,"328. CKH12
2114",SIFA,2017,"Dryland
Seed
Company
/CYMMIT",Dryland,"Medium
Altitude
(1200-1800
masl)",3-4,7-9," Drought tolerance
 Tolerance to TLB, GLS
and Common rust"
MAIZE,"329. CKH10
778","KH50
0-
54A",2017,"KALRO/C
IMMYT","KALRO
MUGUGA","Mid-Late-
1600-1800 M
ASL
Kakamega,
Bungoma,
Kitale,
Kericho,
Nandi,
Vihhiga, Yala,
Busia",5-6,8-9," Medium maturity
 MSV and GLS
Resistant
 Flint like to
intermediate grains
 Large sized cobs,
white grains
 Good husk cover and
other ear aspects"
MAIZE,"330. KM11
01","KH50
0-
56A",2017,KALRO,"KALRO
MUGUGA/K
AKAMEGA","Mid-Late-
1600-1800 M
ASL
Kakamega,
Bungoma,
Kitale,
Kericho,
Nandi,
Vihhiga, Yala,
Busia",5-6,8-10," Medium maturity
 MSV and GLS
Resistant
 Flint like to
intermediate grains
 Large sized cobs,
white grains
 Good husk cover and
other ear aspects"
MAIZE,"331. CKH14
3975","TS40
1",2017,"Topserve
EA Ltd",CIMMYT,"Dry
transitional to
dry-mid
altitude",4-5,7-8.5,
MAIZE,"332. EMH1
101","KH50
0-
13E",2017,KALRO,"CIMMYT &
KALRO
Embu","Dry
transitional to
dry-mid
altitude",4,5.5-7," Drought tolerant
 Tolerant to foliar
diseases and ear rots"
MAIZE,"333. MRI
594","SY
594",2017,"MRI Seed
Zambia
limited,
Lusaka,
Zambia","MRI Seed
Zambia
limited;,
Lusaka,
Zambia","Medium
Altitude &
Transition
zones",4-5,4.4-4.6," GLS & rust tolerance
and medium Turcicum
tolerance
 Ear rot tolerance,
especially Diplodia"
MAIZE,"334. 10C27
38","SC
Dum
a 419",2017,"Seed Co
Limited","Seed Co
Kenya (Agri
Seed Co
Limited)","Medium
Altitude &
Transition
zones",3-4,5.5-7.5," High density grain
hence enhanced
storability
 Uniform cob
placement hence ease
in machine operations
 High shelling
percentage hence
more usable cobs
 Good tip cover
 Wide adaptation
 Drought tolerance
 Fast dry down
 Drooping ear at
maturity
 Loose husks"
MAIZE,"335. 10C84
47","SC
Pund
amili
a 545",2017,"Seed Co
Limited","Seed Co
Kenya (Agri
Seed Co
Limited)","Medium
Altitude &
Transition
zones",3-4,5.0-7.0," High shelling
percentage
 Tolerant to leaf
diseases – GLS, Rust &
MSV
 Tolerant to Grain
diseases hence
reduced post-harvest
losses
 Stay green, hence can
be used as animal
feed after harvest
 Drought tolerance
 Tight husk cover
preventing water
from accessing the
grains during rains
after cob formation"
